Woonplaats;Woonplaats code;Ingangsdatum WPL;Einddatum WPL;Gemeente;Gemeente code;Ingangsdatum nieuwe gemeente;Gemeente beeindigd per
Boazum;2011;;;Littenseradiel;0140;;
Bocholtz;3066;;;Simpelveld;0965;;
Bodegraven;2665;;;Bodegraven;0497;;01-01-2011
Bodegraven;2665;;;Bodegraven-Reeuwijk;1901;01-01-2011;
Boekel;3138;;;Boekel;0755;;
Boelenslaan;3174;;;Achtkarspelen;0059;;
Boer;1371;;;Franekeradeel;0070;;
Boerakker;2259;;;Marum;0025;;
Boerakker;2339;;;Leek;0022;;
Boesingheliede;1615;;;Haarlemmermeer;0394;;
Boijl;1721;;;Weststellingwerf;0098;;
Boksum;2726;;;Menaldumadeel;0083;;01-01-2011
Boksum;2726;;;Menameradiel;1908;01-01-2011;
Bolsward;2079;;;Bolsward;0064;;01-01-2011
Bolsward;2079;;;Súdwest Fryslân;1900;01-01-2011;
Bontebok;2193;;;Heerenveen;0074;;
Boornbergum;3275;;;Smallingerland;0090;;
Boornzwaag;2485;;;Skarsterlân;0051;;
Borculo;1659;;;Berkelland;1859;;
Borger;1782;;;Borger-Odoorn;1681;;
Borgercompagnie;1242;;;Veendam;0047;;
Borgercompagnie;2275;;;Menterwolde;1987;;
Borgsweer;3233;;;Delfzijl;0010;;
Born;2808;;;Sittard-Geleen;1883;;
Borne;2049;07-10-2008;01-06-2011;Borne;0147;;
Borne;3511;01-06-2011;;Borne;0147;;
Bornerbroek;1926;;;Almelo;0141;;
Bornwird;3389;;;Dongeradeel;0058;;
Borssele;1252;;;Borsele;0654;;
Bosch en Duin;2823;;;Zeist;0355;;
Boschoord;3105;;;Westerveld;1701;;
Boskoop;2998;;;Boskoop;0499;;
Bosschenhoofd;1249;;;Halderberge;1655;;
Botlek Rotterdam;3080;;;Rotterdam;0599;;
Bourtange;2294;;;Vlagtwedde;0048;;
Bovenkarspel;1102;;;Stede Broec;0532;;
Boven-Leeuwen;1770;;;West Maas en Waal;0668;;
Bovensmilde;3007;;;Midden-Drenthe;1731;;
Boxmeer;1215;;;Boxmeer;0756;;
Boxtel;2439;;;Boxtel;0757;;
Braamt;2204;;;Montferland;1955;;
Brakel;2628;;;Zaltbommel;0297;;
Brandwijk;1981;;;Graafstroom;0693;;
Brantgum;3390;;;Dongeradeel;0058;;
Breda;1702;;;Breda;0758;;
Bredevoort;1194;;;Aalten;0197;;
Breedenbroek;1587;;;Oude IJsselstreek;1509;;
Breezand;3186;;;Anna Paulowna;0366;;01-01-2012
Breezand;3186;;;Hollands Kroon;1911;01-01-2012;
Breezanddijk;2303;;;Wûnseradiel;0710;;01-01-2011
Breezanddijk;2303;;;Súdwest Fryslân;1900;01-01-2011;
Breskens;2965;;;Sluis;1714;;
Breugel;2600;;;Son en Breugel;0848;;
Breukelen;1392;;;Breukelen;0311;;01-01-2011
Breukelen;1392;;;Stichtse Vecht;1904;01-01-2011;
Breukeleveen;3004;;;Wijdemeren;1696;;
Brielle;2368;;;Brielle;0501;;
Briltil;2115;;;Zuidhorn;0056;;
Britsum;3225;;;Leeuwarderadeel;0081;;
Britswert;2012;;;Littenseradiel;0140;;
Broek;2486;;;Skarsterlân;0051;;
Broek in Waterland;1940;;;Waterland;0852;;
Broek op Langedijk;1116;;;Langedijk;0416;;
Broekhuizen;1027;;;Horst aan de Maas;1507;;
Broekhuizen;1086;;;Meppel;0119;;
Broekhuizenvorst;1028;;;Horst aan de Maas;1507;;
Broekland;1497;;;Raalte;0177;;
Broeksterwâld;3265;;;Dantumadiel;1891;;
Bronkhorst;1530;;;Bronckhorst;1876;;
Bronneger;1783;;;Borger-Odoorn;1681;;
Bronnegerveen;1784;;;Borger-Odoorn;1681;;
Brouwershaven;2674;;;Schouwen-Duiveland;1676;;
Bruchem;2629;;;Zaltbommel;0297;;
Brucht;1542;;;Hardenberg;0160;;
Bruchterveld;1543;;;Hardenberg;0160;;
Bruinehaar;3320;;;Twenterand;1700;;
Bruinisse;2675;;;Schouwen-Duiveland;1676;;
Brummen;1111;;;Brummen;0213;;
Brunssum;2849;;;Brunssum;0899;;
Bruntinge;3008;;;Midden-Drenthe;1731;;
Buchten;2809;;;Sittard-Geleen;1883;;
Budel;1571;;;Cranendonck;1706;;
Budel-Dorplein;1573;;;Cranendonck;1706;;
Budel-Schoot;1572;;;Cranendonck;1706;;
Buggenum;2941;;;Leudal;1640;;
Buinen;1785;;;Borger-Odoorn;1681;;
Buinerveen;1786;;;Borger-Odoorn;1681;;
Buitenkaag;1607;;;Haarlemmermeer;0394;;
Buitenpost;3175;;;Achtkarspelen;0059;;
Bunde;1461;;;Meerssen;0938;;
Bunne;2914;;;Tynaarlo;1730;;
Bunnik;2603;;;Bunnik;0312;;
Bunschoten-Spakenburg;2237;;;Bunschoten;0313;;
Burdaard;3200;;;Ferwerderadiel;1722;;
Buren;2589;;;Ameland;0060;;
Buren;3372;;;Buren;0214;;
Burgerbrug;2762;;;Zijpe;0476;;
Burgerveen;1603;;;Haarlemmermeer;0394;;
Burgh-Haamstede;2676;;;Schouwen-Duiveland;1676;;
Burgum;2451;;;Tytsjerksteradiel;0737;;
Burgwerd;2304;;;Wûnseradiel;0710;;01-01-2011
Burgwerd;2304;;;Súdwest Fryslân;1900;01-01-2011;
Burum;3308;;;Kollumerland en Nieuwkruisland;0079;;
Bussum;1331;;;Bussum;0381;;
Buurmalsen;3221;01-06-2010;14-12-2011;Geldermalsen;0236;;
Buurmalsen;3373;;;Buren;0214;;
Buurmalsen;3532;24-11-2011;;Geldermalsen;0236;;
Cadier en Keer;1692;;;Margraten;0936;;01-01-2011
Cadier en Keer;1692;;;Eijsden-Margraten;1903;01-01-2011;
Cadzand;2964;;;Sluis;1714;;
Callantsoog;2757;;;Zijpe;0476;;
Capelle aan den IJssel;1105;;;Capelle aan den IJssel;0502;;
Castelre;2885;;;Baarle-Nassau;0744;;
Castenray;2328;;;Venray;0984;;
Casteren;1067;;;Bladel;1728;;
Castricum;2268;;;Castricum;0383;;
Chaam;3433;;;Alphen-Chaam;1723;;
Clinge;3092;;;Hulst;0677;;
Coevorden;2147;;;Coevorden;0109;;
Colijnsplaat;3190;;;Noord-Beveland;1695;;
Collendoorn;1544;;;Hardenberg;0160;;
Colmschate;2855;;;Deventer;0150;;
Cornwerd;2305;;;Wûnseradiel;0710;;01-01-2011
Cornwerd;2305;;;Súdwest Fryslân;1900;01-01-2011;
Cothen;1304;;;Wijk bij Duurstede;0352;;
Creil;1281;;;Noordoostpolder;0171;;
Cromvoirt;1620;;;Vught;0865;;
Cruquius;1612;;;Haarlemmermeer;0394;;
Cuijk;1450;;;Cuijk;1684;;
Culemborg;2052;;;Culemborg;0216;;
Daarle;1038;;;Hellendoorn;0163;;
Daarlerveen;1039;;;Hellendoorn;0163;;
Dalem;2300;;;Gorinchem;0512;;
Dalen;2148;;;Coevorden;0109;;
Dalerpeel;2149;;;Coevorden;0109;;
Dalerveen;2150;;;Coevorden;0109;;
Dalfsen;1237;;;Dalfsen;0148;;
Dalmsholte;2550;;;Ommen;0175;;
Damwâld;3266;;;Dantumadiel;1891;;
Darp;3106;;;Westerveld;1701;;
De Bilt;2934;;;De Bilt;0310;;
De Blesse;1722;;;Weststellingwerf;0098;;
De Bult;2697;;;Steenwijkerland;1708;;
De Cocksdorp;2737;;;Texel;0448;;
De Falom;3267;;;Dantumadiel;1891;;
De Glind;1061;;;Barneveld;0203;;
De Goorn;1185;;;Koggenland;1598;;
De Groeve;2924;;;Tynaarlo;1730;;
De Heen;1401;;;Steenbergen;0851;;
De Heurne;1195;;;Aalten;0197;;
De Hoef;1934;;07-02-2012;De Ronde Venen;0736;;
de Hoef;3548;07-02-2012;;De Ronde Venen;0736;;
De Hoeve;1723;;;Weststellingwerf;0098;;
De Kiel;2151;;;Coevorden;0109;;
De Klomp;2770;;;Ede;0228;;
De Knipe;2190;;;Heerenveen;0074;;
De Koog;2738;;;Texel;0448;;
De Krim;1545;;;Hardenberg;0160;;
De Kwakel;2063;;;Uithoorn;0451;;
De Kwakel;3539;reservering;;Uithoorn;0451;;
De Lier;2655;;;Westland;1783;;
de Lutte;1714;;;Losser;0168;;
De Meern;3297;;;Utrecht;0344;;
De Moer;3054;;;Loon op Zand;0809;;
De Mortel;2093;;;Gemert-Bakel;1652;;
De Pol;2698;;;Steenwijkerland;1708;;
De Punt;2915;;;Tynaarlo;1730;;
De Rijp;1902;;;Graft-De Rijp;0365;;
De Rips;2094;;;Gemert-Bakel;1652;;
De Schiphorst;1085;;;Meppel;0119;;
De Steeg;1502;;;Rheden;0275;;
De Tike;3276;;;Smallingerland;0090;;
De Veenhoop;3277;;;Smallingerland;0090;;
De Waal;2739;;;Texel;0448;;
De Weere;2789;;;Opmeer;0432;;
De Westereen;3273;;;Dantumadiel;1891;;
de Wijk;3162;;;De Wolden;1690;;
De Wilgen;3278;;;Smallingerland;0090;;
De Wilp;2260;;;Marum;0025;;
de Woude;2269;;;Castricum;0383;;
De Zilk;1928;;;Noordwijkerhout;0576;;
Dearsum;2526;;;Boarnsterhim;0055;;
Dedemsvaart;1546;;;Hardenberg;0160;;
Dedgum;2306;;;Wûnseradiel;0710;;01-01-2011
Dedgum;2306;;;Súdwest Fryslân;1900;01-01-2011;
Deelen;2773;;;Ede;0228;;
Deest;2903;;;Druten;0225;;
Deil;3217;;;Geldermalsen;0236;;
Deinum;2727;;;Menaldumadeel;0083;;01-01-2011
Deinum;2727;;;Menameradiel;1908;01-01-2011;
Delden;1440;;;Hof van Twente;1735;;
Delfgauw;1143;;;Pijnacker-Nootdorp;1926;;
Delfstrahuizen;2240;;;Lemsterland;0082;;
Delft;2138;;;Delft;0503;;
Delfzijl;3234;;;Delfzijl;0010;;
Delwijnen;2630;;;Zaltbommel;0297;;
Demen;3260;;;Oss;0828;;
Den Andel;2466;;;Winsum;0053;;
Den Bommel;2132;;;Oostflakkee;0580;;
Den Burg;2740;;;Texel;0448;;
Den Dolder;2822;;;Zeist;0355;;
Den Dungen;2058;;;Sint-Michielsgestel;0845;;
Den Ham;2116;;;Zuidhorn;0056;;
Den Ham;3321;;;Twenterand;1700;;
Den Helder;3056;;;Den Helder;0400;;
Den Hoorn;2807;;;Midden-Delfland;1842;;
Den Hoorn Texel;2741;;;Texel;0448;;
Den Horn;2117;;;Zuidhorn;0056;;
Den Hout;2958;;;Oosterhout;0826;;
Den Ilp;1329;;;Landsmeer;0415;;
Den Oever;1489;;;Wieringen;0462;;01-01-2012
Den Oever;1489;;;Hollands Kroon;1911;01-01-2012;
Den Velde;1547;;;Hardenberg;0160;;
Denekamp;1408;;;Dinkelland;1774;;
Deurne;1774;;;Deurne;0762;;
Deurningen;1409;;;Dinkelland;1774;;
Deurningen;1669;;;Oldenzaal;0173;;
Deursen-Dennenburg;3256;;;Oss;0828;;
Deurze;1154;;;Aa en Hunze;1680;;
Deventer;2856;;;Deventer;0150;;
Didam;2205;;;Montferland;1955;;
Dieden;3259;;;Oss;0828;;
Diemen;2144;;;Diemen;0384;;
Diepenheim;1441;;;Hof van Twente;1735;;
Diepenveen;2857;;;Deventer;0150;;
Dieren;1504;;;Rheden;0275;;
Diessen;1308;;;Hilvarenbeek;0798;;
Diever;3107;;;Westerveld;1701;;
Dieverbrug;3108;;;Westerveld;1701;;
Diffelen;1548;;;Hardenberg;0160;;
Dijken;2487;;;Skarsterlân;0051;;
Dinteloord;1402;;;Steenbergen;0851;;
Dinxperlo;1196;;;Aalten;0197;;
Diphoorn;2152;;;Coevorden;0109;;
Dirkshorn;3289;;;Harenkarspel;0395;;
Dirksland;2377;;;Dirksland;0504;;
Dodewaard;1094;;;Neder-Betuwe;1740;;
Doenrade;2100;;;Schinnen;0962;;
Doesburg;2142;;;Doesburg;0221;;
Doetinchem;3246;;;Doetinchem;0222;;
Doetinchem-West;3521;reservering;;Doetinchem;0222;;
Doeveren;3514;01-09-2011;;Heusden;0797;;
Doezum;2174;;;Grootegast;0015;;
Dokkum;3391;;;Dongeradeel;0058;;
Doldersum;3109;;;Westerveld;1701;;
Domburg;2776;;;Veere;0717;;
Donderen;2916;;;Tynaarlo;1730;;
Dongen;2799;;;Dongen;0766;;
Dongjum;1372;;;Franekeradeel;0070;;
Doniaga;2488;;;Skarsterlân;0051;;
Donkerbroek;1754;;;Ooststellingwerf;0085;;
Doorn;3339;;;Utrechtse Heuvelrug;1581;;
Doornenburg;3134;;;Lingewaard;1705;;
Doornspijk;1846;;;Elburg;0230;;
Doorwerth;2986;;;Renkum;0274;;
Dordrecht;2351;;;Dordrecht;0505;;
Dorst;2959;;;Oosterhout;0826;;
Drachten;3279;;;Smallingerland;0090;;
Drachten;3523;reservering;;Smallingerland;0090;;
Drachten-Azeven;3344;;;Opsterland;0086;;
Drachtstercompagnie;3280;;;Smallingerland;0090;;
Dreischor;2677;;;Schouwen-Duiveland;1676;;
Drempt;1520;;;Bronckhorst;1876;;
Dreumel;1771;;;West Maas en Waal;0668;;
Driebergen-Rijsenburg;3335;;;Utrechtse Heuvelrug;1581;;
Drieborg;1422;;;Oldambt;1895;;
Driebruggen;2477;;;Reeuwijk;0595;;01-01-2011
Driebruggen;2477;;;Bodegraven-Reeuwijk;1901;01-01-2011;
Driehuis NH;2836;;;Velsen;0453;;
Driehuizen;1886;;;Schermer;0458;;
Driel;1863;;;Overbetuwe;1734;;
Driewegen;1253;;;Borsele;0654;;
Driezum;3268;;;Dantumadiel;1891;;
Drijber;3009;;;Midden-Drenthe;1731;;
Drimmelen;2574;;;Drimmelen;1719;;
Drogeham;3176;;;Achtkarspelen;0059;;
Drogteropslagen;3163;;;De Wolden;1690;;
Drongelen;1952;;;Aalburg;0738;;
Dronryp;2729;;;Menaldumadeel;0083;;01-01-2011
Dronryp;2729;;;Menameradiel;1908;01-01-2011;
Dronten;2430;;;Dronten;0303;;
Drouwen;1787;;;Borger-Odoorn;1681;;
Drouwenermond;1788;;;Borger-Odoorn;1681;;
Drouwenerveen;1789;;;Borger-Odoorn;1681;;
Drunen;3498;;;Heusden;0797;;
Druten;2904;;;Druten;0225;;
Duiven;2096;;;Duiven;0226;;
Duivendrecht;2130;;;Ouder-Amstel;0437;;
Duizel;2992;;;Eersel;0770;;
Dussen;2214;;;Werkendam;0870;;
Dwingeloo;3110;;;Westerveld;1701;;
Eagum;2524;;;Boarnsterhim;0055;;
Earnewâld;2456;;;Tytsjerksteradiel;0737;;
Easterein;2013;;;Littenseradiel;0140;;
Easterlittens;2014;;;Littenseradiel;0140;;
Eastermar;2454;;;Tytsjerksteradiel;0737;;
